"Bardolino, Italy","Corvina, Molinara, Rondinella"
"Beaujolais (White), France",Chardonnay
"Beaujolais (Red), Bourgogne, France",Gamay
"Bordeaux (Red), France","Merlot, Cabernet-Sauvignon, Cabernet-Franc, Malbec, Petit Verdot"
"Bordeaux sec (White), France","Sauvignon Blanc, Sémillon, Muscadelle"
"Bourgogne (Red), France",Pinot Noir
"Bourgogne (White), France",Chardonnay
"Chablis, France",Chardonnay
"Champagne, France","Chardonnay, Pinot Noir, Pinot Meunier"
"Châteauneuf-du-Pape, France","Grenache, Mourvèdre, Syrah and others"
"Chianti, Italy",Sangiovese (80 % minimum)
"Côtes du Rhône méridionnaux, Rhône, France","Grenache, Mourvèdre, Carignan and others"
"Côtes du Rhône septentrionnaux, Rhône, France",Syrah
"Porto, Portugal","Touriga Nacional, Tinta Barroca, Touriga Francesa, Tinta Roriz, Tinto Cão and others"
"Pouilly-Fuissé, France",Chardonnay
"Rhin (Rheingau, Rheinhessen), Germany",Riesling and others
"Rioja (Red), Spain","Tempranillo, Grenache et autres"
"Sauternes, France","Sémillon, Sauvignon Blanc, Muscadelle"
"Sherry (Jerez), Spain",Palomino
"Soave, Italy",Garganega et autres
"Valpolicella, Italy","Corvina, Molinara, Rondinella"
"Châteauneuf-du-Pape (White), Rhône, France","Grenache blanc, Grenache Gris, Clairette"
"Châteauneuf-du-Pape (Red), Rhône, France","Grenache, Cinsaut, Syrah, Mourvèdre…"
"Hermitage (White), Rhône, France","Marsanne, Roussanne"
"Hermitage (Red), Rhône, France",Syrah
"Côte rotie (Red), Rhône, France","Syrah, Viognier"
"Condrieu (White), Rhône, France",Viognier
"Côte du Rhône (White), Rhône, France","Marsanne, Roussanne, Bourboulenc, Clairette, Grenache Blanc, Viognier"
"Côte du Rhône (Red), Rhône, France","Grenache, Syrah, Mourvèdre, Cinsaut, Carignan"
"Sancerre, Menetou-Salon (White), Loire, France",Sauvignon Blanc
"Sancerre, Menetou-Salon (Red), Loire, France",Pinot Noir
"Pouilly-Fumé (White), Loire, France",Sauvignon Blanc
"Vouvray, Montlouis (White), Loire, France",Chenin Blanc
"Muscadet (White), Loire, France",Melon de Bourgogne
"Alsace (White), France","Riesling, Gewurztraminer, Pinot Blanc, Pinot Gris, Sylvaner"
"Alsace (Red), France",Pinot Noir
"Languedoc-Roussillon (White), France","Vermentino (ou Rolle), Piquepoul, Clairette, Bourboulenc, Grenache blanc, Grenache Gris, Marsanne, Roussanne, Macabeu, Viognier"
"Languedoc-Roussillon (Red), France","Syrah, Carignan, Grenache, Mourvèdre, Cinsaut"
"Mâcon (Red), Bourgogne, France","Gamay, Pinot noir"
"Mâcon (White), Bourgogne, France",Chardonnay
"Barolo (Red), Piedmont, Italy",Nebbiolo
"Barbaresco (Red), Piedmont, Italy",Nebbiolo
"Gattinara (Red), Piedmont, Italy","Nebbiolo, Bonarda"
"Gavi, Piedmont (White)",Cortese
"Roero arneis (White), Piedmont, Italy",Arneis
"Chianti, Chianti classico (Red), Tuscany, Italy","Sangiovese, Canaiolo and others"
"Brunello di Montalcino (Red), Tuscany, Italy",Sangiovese
"Vernaccia di San Gimignano (White), Tuscany, Italy",Vernaccia
"Vino noble di Montepulciano (Red), Tuscany, Italy","Sangiovese, Canaiolo and others"
"Carmignano (Red), Tuscany, Italy","Sangiovese, Cabernet Sauvignon, Canaiolo and others"
"Super-toscans (Red), Tuscany, Italy"," Cabernet Sauvignon, Sangiovese, and others"
"Soave (White), Veneto, Italy","Garganega, Trebbiano et autres"
"Amarone (Red), Veneto, Italy","Corvina, Molinara, Rondinella"
"Bianco di Custoza (White), Veneto, Italy","Trebbiano, Garganega, Tocai"
"Luagana (White), Veneto, Italy",Trebbiano
"Lombardie (Red), Valtellina, Italy",Nebbiolo
Latium (White),Frascati
"Ribera-del-duero (Red), Spain","Tempranillo, Cabernet Sauvignon"
"Penedès, Spain","Grenache, Syrah, Monastrell, Merlot, Pinot Noir, Cabernet Sauvignon, Samsó, Ull de Llebre"
"Navarra (Red), Spain","Tempranillo, Grenache, Cabernet sauvignon, Merlot"
"Rueda (White), Spain",Verdejo
"Rías Baixas, Spain",Albariño
"Barca Velha (Red), Portugal","Touriga Franca, Touriga Nacional,Tinta Roriz, Tinto Cão"
"Mosel-Saar-Ruwer (White), Germany",Riesling
"Rheingau (White), Germany","Riesling, Pinot noir"
"Rheinhessen, Germany","Müller-Thurgau, Sylvaner"
"Pfalz, Germany","Müller-Thurgau, Riesling, Sylvaner, Kerner, Scheurebe and Spätburgunder (Pinot Noir)"