Relation between tannic wine and food,Reduce the feeling of sweet of the food; Seems sweeter and softer with a dish full of proteines such as meat; Seems less bitter but more tannic with salty dishes; Seems dry with spicy food
Relation between sweet wine and  food,Seems less sweet with salty food; Makes salty dishes more enjoyable; Goes well with sweet food if they are themself acid enough; Can make sweet dish too sweet
Relation between acid wine and food,Seems less acid with salty food; Seems less acid with slightly sweet food; Can make feel salty food more salty; Can balance too fatty dishes
Relation between strong wine (with a lot of alcohol) and food,Can hide subtil flavours of dishes; Goes well with slightly sweet dishes
Wine with strong acidity,"Fatty dish, or puff pastry"
Wine with a strong alcohol level,"Crusty or chewy meals, not liquid"
Wine with a lot of tannin,"Consistent or fatty dish, red meat is a good fit"
Lamb,Champagne rosé
Pauillac lamb,Médoc
Andouillette (sausage),Chablis
Green asparagus,Riesling ou Muscat
White asparagus,Savennières
Grilled bass fish,Cassis blanc
Camembert,Cider
Caviar,Champagne millésimé vieux
Comté,Vin jaune
Red fruits cramble,Pineau des Charentes rosé
Dark chocolate dessert,Banyuls ou Porto Vintage
Dry fruits dessert,Porto ruby
Foie gras (terrine),Sauternes
Pan friend foie gras,
Goat cheese,"Fresh: Bourgueil, Chinon ou Gevrey-Chambertin (rouges); Semi-dry: Sancerre ou Pouilly-Fumé ; Fine: Vouvray demi-sec"
Oysters,Muscadet ou Sylvaner
Osso-buco,Barbera d’Alba
Parmesan,Amarone
Dish with white truffle,vieux Barolo ou Châteauneuf-du-Pape blanc
Dish with black truffle,vieux Pomerol
Leek vinaigrette,Verdelho (Madère)
Roasted chicken,Sauternes
Quiche lorraine,Pinot-Gris
Roquefort,"Porto, Maury ou Banyuls"
Roasted beef,Bordeaux
Grilled goatfish,Rosés de Provence
Smoked salmon,"Chablis grand cru, Sancerre ou Pouilly-Fumé"
Cheese soufflé,Champagne (10 years old)
Soup,Madère Sercial or xérès amontillado sec
Lemon confit chicken tajine,Languedoc-montpeyroux ou Tavel
Tomato pie,Rosé de provence
Game meat pie,Châteauneuf-du-Pape
Sweet wine,"Avoid sweet desserts, better go for desserts with a bit of acidity with agrums, mango, pineapple, or apricot, or with a blue cheese like roquefort"
Old wine with tannin leaving with age,"Meat in a casserole, confit or pulled"
Young red wine,Grilled red meat
Creative dishes with mousse or gelée,Sparkling wine
Chocolate,Porto or Maury
Dish with a lot of lemon,Fruity and aromatic wine
Vegetables,"Not a tannic wine, better a white or a rosé"
Potatoes,Structured red wine
Dish with more than 3 flavours,Better go for water instead of wine
Vinho Verde Albariño,"Clams, Octopus Salad"
Assyrtiko,"Seafood, fishes"
Fiano di Avellino,"Fish, and seafood pastas"
Greco di Tufo,"Shellfishes, Fish with white flesh"
Grüner Veltliner,"White meat, wild game meat"
Petite arvine,"River fishes, Exotic fruits soufflés, Safran ice cream, White truffle risotto"
Petit manseng,Pinapple or apple desserts with white truffle ice cream
Vermentino,"Mediterranéean rock fish, Mushroom risotto"
Viognier,"Good for aperitif, Oriental dishes with river fishes or foie gras"
Corvina veronese,"Hare civet, Truffle risotto"
Bordeaux (Red),"Lamb, game meat, beef, roasted, grilled, stewed; when tannin are round it goes well with chocolate desserts, brownies"
Aperitif (red wine),"Bourgogne-Aligoté, Chardonnay de Bourgogne (Chablis, St Véran, Pouilly-Fuissé), Muscat, Chasselas, Pinot Gris, Gewurztraminer, Sancerre, Pouilly-Fumé, Coteaux-du-Layon, Savennières, Coteaux-de-l’Aubance, Jasnières, IGP Côtes de Gascogne."
Oysters and shells,"Gros-Plant, Muscadet, Bourgogne-Aligoté, Chablis, Alsace Riesling, Alsace Sylvaner, Sancerre, Coteaux Champenois, Alsace Pinot Blanc, Cassis, Graves, Entre-Deux-Mers, Bergerac."
Grilled fishes,"Muscadet, Anjou, Mâcon, Saumur, Chablis, Bourgogne-Aligoté, Vouvray, Pouilly-Fumé, Alsace Klevener, Beaujolais, Jurançon sec, coteaux d’Aix-en-Provence, Chassagne-Montrachet, Hermitage, Montlouis, Coteaux-Varois, Tursan, Montravel."
Fishes with sauce,"Chablis, Pouligny-Montrachet, Pouilly-Fuissé, Alsace Pinot Gris, Sancerre, Pouilly-Fumé, Meursault, Bourgogne Aligoté, Pessac-Léognan, Seyssel (Savoie), Croze-Hermitage, Auxey-Duresses, Côtes de Duras, St-Joseph, Patrimonio (Corse), Savennières, Vouvray, Montlouis, Picpoul de Pinet, Beaune, Monthélie."
"Warm starters (puff pastry, quenelles, sweetbreads, quiches, bechamel dishes)","Sancerre, Pouilly-Fumé, Meursault, Chablis, Corton-Charlemagne, Puligny-Montrachet, Vouvray demi-sec, Côteaux-de-l’Aubance, Saussignac, Cadillac, St-Croix-du-Mont"
Poultry or white meat (white wine),"Meursault, Arbois blanc, Alsace Riesling, Pouilly-sur-Loire, Pouilly-Fumé, Pouilly-Fuissé, St-Véran, Quincy, Menetou-Salon, Monthélie, Alsace Pinot Gris."
"Cow cheese, and soft cheese (cantal, comté)","Chignin-Bergeron (Savoie), Meursault, Côtes-du-Rhône, Arbois blanc, Graves, Buzet, vin jaune de Jura."
"Strong cheese (munster, maroilles)","Alsace Gewurztraminer vendanges tardives, Sauternes, Alsace Pinot Gris vendanges tardives, Coteaux-du-Layon, Monbazillac, Jurançon, Loupiac, St-Croix-du-Mont, Bonnezeaux, Chaume, Quart-de-Chaume"
Goat cheese,"Sancerre, Pouilly-Fumé, Patrimonio, Côteaux-de-l’Aubance, Vouvray demi-sec, Condrieu, Quincy, Menetou-Salon, Reuilly, Cheverny."
"Dessert (not too sweet, like fruit salad)","Alsace Gewurztraminer vendanges tardives, Sauternes, Côteaux-du-Layon, Muscat de Beaume de Venise, St-Croix-du-Mont, Cérons, Bonnezeaux, Pacherenc du Vic-Bilh, vin de paille (Jura), Muscat de Lunel, Jurançon"
"Dessert (sweet, like red fruit pie)","Vouvray demi-sec, Rivesaltes, pineau des Charentes, Montlouis demi-sec, Cadillac, Côteaux-de-l’Aubance, Floc de Gascogne"
Aperitif (red wine),"Coteaux Champenois (Bouzy), Reuilly rouge, Sancerre rouge, Alsace Pinot Noir, Castillon-Côtes de Bordeaux, St Nicolas de Bourgueil, Saumur-Champigny."
Charcuterie,"Juliénas, Régnié, Chiroubles (beaujolais), Saumur-Champigny, Cheverny, Côtes du Rhône-Villages, Menetou-Salon, Fleurie, Chénas (beaujolais), Arbois rouge, bourgogne Passetougrains, Irancy (Côte-roannaise)."
Poultry or white meat (red wine),"Morgon, Moulin à Vent (beaujolais), Chinon, Anjou, St-Émilion, Coteaux du Lyonnais, Tursan (vin des Landes), Lubéron, Touraine."
Wild game meat,"Pommard, Aloxe-Corton (bourgogne), Pauillac, St-Estèphe, Pomerol, Fronsac, Graves (bordeaux), Châteauneuf-du-Pape, Cornas, Côte Rôtie, Hermitage, Pécharmant, Madiran, Gigondas, Bandol, Faugères, Saint-Chinian, Corbières, Rasteau."
Red meat,"Gevrey-Chambertin, Nuits-St-Georges, Corton, Mercurey (bourgogne), Margaux, St-Julien, Pessac-Léognan (bordeaux), Chinon, Anjou-Villages, Cahors, Auxey-Duresses, Morey St Denis, Chambolle-Musigny (bourgogne), Castillon-Côtes de Bordeaux, Canon-Fronsac, Côtes de Bourg, Moulis (bordeaux), Collioure, Minervois, Faugères, Corbières, Pécharmant, Gaillac, Patrimonio, Irouléguy, Cairanne.

GERBOD, Catherine. Le Vin pour les Nuls, 9e édition (French Edition) (Emplacements du Kindle 9101-9104). edi8. Édition du Kindle. "
Cow cheese (red wine),"Juliénas, Morgon (beaujolais), St Nicolas de Bourgueil, Côtes de Beaune, Santenay, Côtes du Rhône, Costières-de-Nimes, St-Joseph, Alsace Pinot Noir, Côteaux d’Aix-en-Provence, Languedoc, Bergerac."
Sheep cheese,"Lalande de Pomerol, Côtes de Provence rouge, Côte de Blaye, Sancerre, Régnié (beaujolais), Reuilly, Cheverny, Irouléguy, Patrimonio, Madiran, St Chinian."
"Desserts with nuts, chocolate, praline","Rivesaltes, Banuyls, Maury, Pineau des Charentes rouge, Floc de Gasgogne rouge, Châteauneuf-du-Pape, Cahors"
Aperitif (rosé wine),"Côtes-de-Provence, Baux-de-Provence, Lubéron, Ventoux, Sancerre, Corse-Figari, Beaujolais rosé, Côtes-d’Auvergne-Corent, Côte-Roannaise, Saint-Pourçain, Gris-de-Toul, Collioure, Reuilly."
Starters,"Côtes de Provence, Coteaux d’Aix-en-Provence, bordeaux rosé, Patrimonio, Bandol, Sancerre, Gris de Toul, Collioure, Cassis, Côtes-du-Roussillon, Minervois, Corbières, Bergerac, Tursan, Chinon, Reuilly."
Seafood and fish,"Côtes de Provence, Bandol, Corse, Sancerre, Tavel, Cassis, Collioure, beaujolais, Cabardès, Marsannay."
Poultry or white meat and grilled meat (rosé wine),"Sancerre, Touraine, Tavel, Corse-Figari, bordeaux, Bellet, Palette, Baux-de-Provence, St Chinian, Marsannay, Bugey rosé (vin du Jura), Arbois Poulsard."
"Sauerkraut
","Riesling, Pinot Blanc, Sylvaner, Moselle blanc."
Snails stuffed with garlic and butter,"Chablis, Pernand-Vergelesses blanc"
Mirabelle pie,Gewurztraminer
Bourguignon beef,"Beaune rouge, Pommard, Aloxe-Corton."
Fondue bourgignonne,"Marsannay rouge, Mercurey rouge, Irancy."
"Raclette, tartiflette, fondue savoyarde","Roussette de Savoie, Seyssel, Chignin, Abymes"
Bouillabaisse,"Côtes-de-Provence blanc, Bandol blanc, Cassis blanc or rosé, Bellet blanc or rosé, Palette blanc or rosé."
Basilic pasta,Bandol or Cassis rosé.
Vegetables tian,Bellet or Palette rouge.
"Aubergines, tomato, and stuffed pepper","Coteaux d’Aix, or Côtes de Provence rouge."
Grilled fishes,Bandol or Cassis blanc.
Duck with orange or cherry,Madiran or Cahors
Duck breast or truffle sauce,Pécharmant
Cassoulet,"Cahors, un Madiran, Pécharmant, Bergerac, Gaillac, St-Mont"
Beaufort,Vin jaune
Sheep basque,Jurançon
Brie,Coteaux champenois
Cantal or laguiole,Vin de paille du Jura ou un rouge souple type
Chaource,Coteaux champenois
Cîteaux,Meursault
Coulommiers,Sancerre rouge
Crottin de Chavignol sec,Vouvray moelleux
Époisses,Corton-Charlemagne
Fourme d’Ambert,Côte roannaise rouge ou côtes du Forez
Mimolette,Bordeaux rouge
Mont d’Or,Gamay de Chautagne
Pérail de brebis,Gaillac rouge souple
Pont-l’évêque,Bordeaux rouge
Reblochon,Altesse de Savoie
Rigote,Condrieu
Sainte-maure,Sancerre or Pouilly-Fumé
Saint-marcellin,Saint-joseph rouge
Saint-nectaire,Bordeaux rouge
Tomme de Savoie,Chignin-Bergeron